"Sample","181155|Veillonellaceae","495396|Tissierellaceae","1077373|Prevotellaceae","1107027|Lactobacillaceae","197537|Bacteroidaceae","174842|Porphyromonadaceae","363794|Coriobacteriaceae","185186|Verrucomicrobiaceae","176337|Ruminococcaceae","180082|Porphyromonadaceae","199524|NA","220970|Enterobacteriaceae","813479|Bifidobacteriaceae","559527|Bifidobacteriaceae","820346|Enterobacteriaceae","198183|NA","659361|Lachnospiraceae","358333|Lachnospiraceae","808486|Enterobacteriaceae","197343|Lachnospiraceae","187623|Bacteroidaceae","197562|Ruminococcaceae","367215|Erysipelotrichaceae","4174963|Bacteroidaceae","2063400|Bacteroidaceae","759751|Lachnospiraceae","198928|Lachnospiraceae","1928156|Lachnospiraceae","352933|NA","842596|Lachnospiraceae","975306|Lachnospiraceae","4333897|Enterobacteriaceae","4391262|Enterobacteriaceae","339905|S24-7","786449|Lachnospiraceae","328905|Ruminococcaceae","325850|NA","4448331|Enterobacteriaceae","1684221|Desulfovibrionaceae","367092|Lachnospiraceae","3867172|Enterobacteriaceae","1111582|Enterococcaceae","328617|Bacteroidaceae","295085|Lachnospiraceae","365181|Coriobacteriaceae","289452|Lachnospiraceae","360238|Erysipelotrichaceae","528652|Ruminococcaceae","461795|Ruminococcaceae","4451251|Coriobacteriaceae","325977|Lachnospiraceae","592139|Clostridiaceae","922761|Enterobacteriaceae","141145|Enterobacteriaceae","New.CleanUp.ReferenceOTU3631|Lachnospiraceae","New.CleanUp.ReferenceOTU21685|Lachnospiraceae","New.CleanUp.ReferenceOTU24351|Bacteroidaceae","New.CleanUp.ReferenceOTU33851|Bacteroidaceae","New.CleanUp.ReferenceOTU49633|Ruminococcaceae","New.CleanUp.ReferenceOTU50254|Odoribacteraceae","New.CleanUp.ReferenceOTU60967|Erysipelotrichaceae","New.CleanUp.ReferenceOTU75977|Enterobacteriaceae","New.CleanUp.ReferenceOTU77070|Bacteroidaceae","Response"
"P19",0,0,0,7.58150113722517e-05,0,0,7.58150113722517e-05,0,0,0.0163002274450341,7.58150113722517e-05,0,0,0.00045489006823351,0.000227445034116755,0.000227445034116755,0,0,7.58150113722517e-05,7.58150113722517e-05,0,0,7.58150113722517e-05,0.00045489006823351,0,0.000227445034116755,0,0,0.000303260045489007,0.000151630022744503,7.58150113722517e-05,0,7.58150113722517e-05,7.58150113722517e-05,0,0,0,0,7.58150113722517e-05,0.00181956027293404,0,0.000151630022744503,0,0,0,0,0,0.000227445034116755,0,0,0,0.000151630022744503,0.000227445034116755,0.000151630022744503,0,7.58150113722517e-05,7.58150113722517e-05,0,0,0,0,0,0,"NonResponder"
"P32",7.58150113722517e-05,0,0,0,0,0,0.000758150113722517,0,0,0.00940106141015921,0,0,0,0,0,7.58150113722517e-05,0,0,0,7.58150113722517e-05,0,0,0.000303260045489007,7.58150113722517e-05,0.000151630022744503,0.00280515542077331,0,7.58150113722517e-05,0,0,0.00045489006823351,0,0,0,0,0.000151630022744503,0,0,0,0.000151630022744503,0,7.58150113722517e-05,0.000303260045489007,0,0.000303260045489007,0,0,0.000151630022744503,0,0,0,0,0,0,0,0.000227445034116755,0,0,0,0.000151630022744503,0.000151630022744503,0,0.000151630022744503,"NonResponder"
"P02",7.58150113722517e-05,0,0,0,0,0,0.000379075056861259,0,0,0.00917361637604246,0,0,0,0,0,0,0,0,0.000151630022744503,0,0,0.000151630022744503,0,0,0,0.000682335102350265,0,0,0.00864291129643669,0.000151630022744503,7.58150113722517e-05,0,7.58150113722517e-05,0,0,0.000303260045489007,0.00128885519332828,7.58150113722517e-05,0,0.000151630022744503,7.58150113722517e-05,7.58150113722517e-05,0,0,7.58150113722517e-05,0,0.000379075056861259,0.000227445034116755,0.000151630022744503,0,0,0.00090978013646702,0,0.000151630022744503,0,0,0,0,0.000151630022744503,7.58150113722517e-05,0,0.000227445034116755,7.58150113722517e-05,"Responder"
"P29",0,7.58150113722517e-05,0,0,7.58150113722517e-05,7.58150113722517e-05,0,0,0,0.0266110689916603,0,0,0,0,0,0,7.58150113722517e-05,7.58150113722517e-05,0,0,0,0,0.000303260045489007,0,0,0.00303260045489007,0,0,7.58150113722517e-05,0,0,0,0,0,0,0.00348749052312358,0,0,0,0,0,7.58150113722517e-05,0.000151630022744503,0,0,0,0,0,0.00128885519332828,7.58150113722517e-05,0,0,0,0,0,0,0,7.58150113722517e-05,0,7.58150113722517e-05,0,0,0,"Responder"
"P13",0.000151630022744503,0,0,0,0,0,0,0,0,7.58150113722517e-05,0,0.000151630022744503,0,0.00871872630780895,0.0621683093252464,0,0,0,0,0,0,0,0.00106141015921152,0,0,0,7.58150113722517e-05,0,0,0,0,0,0,0,0,0,0,0,0,7.58150113722517e-05,7.58150113722517e-05,0,0,0,0,0,0,0.000151630022744503,0,0,7.58150113722517e-05,0,0.0384382107657316,0,0,0,0,0,0,0,0,0,0,"Responder"
"P41",0,0,0,0,0.000151630022744503,0,0,0,7.58150113722517e-05,0.0113722517058378,7.58150113722517e-05,0,0,0,0,0,0,0.000151630022744503,0,0,0.000151630022744503,0,0.000379075056861259,0,0.000151630022744503,0.00151630022744503,0,0.000151630022744503,0,0.000530705079605762,0.00197119029567854,0,0,0,0,0,0,0,7.58150113722517e-05,0,0,0,0.000151630022744503,0,0,0,7.58150113722517e-05,0.000303260045489007,0,0,7.58150113722517e-05,0,7.58150113722517e-05,0,0,7.58150113722517e-05,7.58150113722517e-05,7.58150113722517e-05,0,0.000151630022744503,0.000151630022744503,0,0,"NonResponder"
"P27",0.00644427596664139,7.58150113722517e-05,0,0,0.000227445034116755,0,0,0,0,0.0442001516300227,0,0,0,0.00295678544351782,7.58150113722517e-05,0,0.0020470053070508,0,0,0,0.000606520090978014,0,0,7.58150113722517e-05,0,0.00386656557998484,0.0021986353297953,0,0,0,0,0,0,7.58150113722517e-05,0,0,0,0,7.58150113722517e-05,0,7.58150113722517e-05,0.000530705079605762,0,0,0,0,7.58150113722517e-05,0,0,0.000151630022744503,0.00280515542077331,0,0,0,7.58150113722517e-05,0,0,0.000151630022744503,0,0,0,0,0,"Responder"
"P15",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00280515542077331,0,0,0,0,0,0.000151630022744503,0,7.58150113722517e-05,0.000606520090978014,7.58150113722517e-05,0,0.000758150113722517,0.000227445034116755,7.58150113722517e-05,0,0,0,0,0,0,0,0.000151630022744503,0,0,0,0.000758150113722517,0,7.58150113722517e-05,0,0,0,0,0,0.000379075056861259,0,0,0,0,0,0,0,0,0,0,7.58150113722517e-05,0,0,0,0,"NonResponder"
"P24",0,0,0.000151630022744503,0.000227445034116755,0,7.58150113722517e-05,0,0.000151630022744503,0,0.0149355572403336,7.58150113722517e-05,0,7.58150113722517e-05,0.0020470053070508,0,0,0,0,0,0,7.58150113722517e-05,0.000303260045489007,0.000151630022744503,7.58150113722517e-05,0,0.000379075056861259,0,0,0.00371493555724033,0.000151630022744503,0.000303260045489007,0,0,0,0,0.000303260045489007,0.00780894617134193,0,0,0.000758150113722517,0,0.00045489006823351,0,0,0,0,0,0,7.58150113722517e-05,0,0,0.0481425322213798,0,0,0,0,0,7.58150113722517e-05,0.000151630022744503,0,0,0,0,"Responder"
"P10",0,0,0,0.000379075056861259,0.000227445034116755,7.58150113722517e-05,7.58150113722517e-05,0,0,0,0,0,0,0,0,0.000151630022744503,0,7.58150113722517e-05,0,0.000227445034116755,0,0,0.000227445034116755,7.58150113722517e-05,0,0.00265352539802881,0,7.58150113722517e-05,0,0.000303260045489007,0.000151630022744503,0,0,7.58150113722517e-05,0,0,0.000151630022744503,0,7.58150113722517e-05,0.00181956027293404,0,0,0,0,0,7.58150113722517e-05,0,7.58150113722517e-05,0,0,0,0,0,0,0,0,7.58150113722517e-05,0,0,0.000227445034116755,7.58150113722517e-05,0,0,"NonResponder"
"P22",0,0,0,7.58150113722517e-05,0,0.000151630022744503,0,0,0,0,0,0,0,0.000151630022744503,0,0.000151630022744503,0,7.58150113722517e-05,0,0,0,0,0.000303260045489007,0.000303260045489007,0.000227445034116755,0.00181956027293404,0,0,0.00090978013646702,0.000151630022744503,7.58150113722517e-05,0,0,7.58150113722517e-05,0,0,0,0,7.58150113722517e-05,0.000985595147839272,0,0,7.58150113722517e-05,0,0,0,0,0.00045489006823351,0,0,0,0,0,0,0,0.000151630022744503,7.58150113722517e-05,0,7.58150113722517e-05,0,0.000151630022744503,0,0,"NonResponder"
"P20",0,0.000227445034116755,0,0.00144048521607278,0,0,0.0446550416982563,0,0,0.00288097043214556,0,0,0.000379075056861259,0.0584533737680061,0,0,0.0147839272175891,0,7.58150113722517e-05,0,0,0,7.58150113722517e-05,0,0,0.00257771038665656,0.000303260045489007,0,0,0,0.000379075056861259,7.58150113722517e-05,0.000151630022744503,0,7.58150113722517e-05,0,0,7.58150113722517e-05,7.58150113722517e-05,0,0.000151630022744503,0.00485216072782411,0,0.000379075056861259,0.0313874147081122,0,7.58150113722517e-05,0,0,0.000151630022744503,0.00416982562547384,0,0,0.000379075056861259,0,0,0,0,0,0,0,0,0,"Responder"
"P35",0,0,0,7.58150113722517e-05,0,0.000151630022744503,0.000758150113722517,0,7.58150113722517e-05,0.00947687642153146,0,0,0,0,7.58150113722517e-05,0,0,0.000151630022744503,7.58150113722517e-05,0,0,0,0.000985595147839272,0,0,0.00447308567096285,0.000151630022744503,0,0,0.000758150113722517,0.000303260045489007,0,0,0,0,0.000530705079605762,0,0,0.000151630022744503,0.00265352539802881,0,0,0,0,0.000606520090978014,0,0,0,7.58150113722517e-05,0,0.000303260045489007,0,0,0,0,0,0,0,0,0.000151630022744503,0,0,0,"NonResponder"
"P38",0,0,0,0,0,0,0.000227445034116755,0,0,0.00811220621683093,0.000227445034116755,0,0,0,0,0,0,0.000151630022744503,0,0,0,0,0.000303260045489007,0,0.000151630022744503,0.000303260045489007,0,0,0,0.000227445034116755,0.000227445034116755,0,0,0,0,0,0,0,0,0.000682335102350265,0,0,0.000151630022744503,0,7.58150113722517e-05,0,0,0.000151630022744503,0,0,0,0,0,0,0,0,0,0,0,0.000227445034116755,0,0,0,"NonResponder"
"P28",0.00045489006823351,0,0,0.00227445034116755,0.000227445034116755,0,0.0023502653525398,0,0,0.0089461713419257,0,0.000151630022744503,0,0.00485216072782411,0.00500379075056861,0,0,0,0.000379075056861259,0,0.000379075056861259,0,7.58150113722517e-05,7.58150113722517e-05,0,0.00045489006823351,0,0,0.00174374526156179,0,7.58150113722517e-05,7.58150113722517e-05,0.000151630022744503,0,0,0,0,0.000303260045489007,0,0,0.000151630022744503,0.00151630022744503,0,0,0.00159211523881729,0,0,0,0,0,0,0.000379075056861259,0.00310841546626232,0.00106141015921152,0,0,0,7.58150113722517e-05,0.000151630022744503,7.58150113722517e-05,0,7.58150113722517e-05,0,"Responder"
"P09",0.000151630022744503,0,7.58150113722517e-05,0,0,0.000151630022744503,0.00045489006823351,0,0,0.0801364670204701,0.000151630022744503,7.58150113722517e-05,0,0.000303260045489007,0.0184230477634572,7.58150113722517e-05,0,0,0.000833965125094769,7.58150113722517e-05,0,7.58150113722517e-05,0,7.58150113722517e-05,0,0.000985595147839272,0,7.58150113722517e-05,0,0,0,0.000151630022744503,7.58150113722517e-05,0,7.58150113722517e-05,0,0,0.000151630022744503,7.58150113722517e-05,0,7.58150113722517e-05,0.00856709628506444,0,7.58150113722517e-05,0.000379075056861259,0,0,0,0,0,0,0,0.011751326762699,0.00144048521607278,0,0,0,7.58150113722517e-05,0,0,0,0.000151630022744503,0,"Responder"
"P11",0,0,0,0.000151630022744503,0,0,0,0,0,0,0.000227445034116755,0,0,0,0,7.58150113722517e-05,0,7.58150113722517e-05,0.000151630022744503,0,0,0,0.00128885519332828,0,0,0.00780894617134193,0,0,0,0.000303260045489007,0.000530705079605762,0,0,0,0,0,0,0,0,7.58150113722517e-05,0,7.58150113722517e-05,0,0,0,7.58150113722517e-05,0,0,0,0,0,0,0,0.000227445034116755,0,7.58150113722517e-05,0,0,0,0,0,0,0,"NonResponder"
"P03",0,0,0,7.58150113722517e-05,0,0,0,0,0.000151630022744503,0.0147081122062168,7.58150113722517e-05,0,0,0.000758150113722517,0,0,0,0.00045489006823351,0,0.00045489006823351,0,0,0.00136467020470053,0,0,0.00257771038665656,0.000151630022744503,0,0,0,0.000151630022744503,0,0,0,0,0,0,0,7.58150113722517e-05,0.00394238059135709,0,7.58150113722517e-05,7.58150113722517e-05,0,0,0,0,7.58150113722517e-05,0,0,7.58150113722517e-05,0,0,0,0,7.58150113722517e-05,7.58150113722517e-05,0,0,0.000151630022744503,7.58150113722517e-05,0,0,"NonResponder"
